field_id,crop,variety,soil_type,planting_date,harvest_date,fertilizer_kg_ha,pesticide_l_ha,yield_kg_ha
169,Jowar,C,loam,2017-02-10,2017-06-17,164.78,7.96,3200.59
2,Jowar,A,clay,2015-02-15,2015-07-03,148.42,38.42,3406.07
144,Cotton,C,loam,2003-10-09,2004-02-25,133.05,0.06,2768.64
9,Paddy,C,sandy,2001-07-31,2001-11-13,79.32,30.83,6182.36
75,Paddy,C,clay,2013-12-19,2014-04-06,78.98,36.34,6284.58
190,Paddy,B,sandy,2004-10-26,2005-02-24,181.22,36.41,6947.89
144,Cotton,C,loam,2003-10-12,2004-02-09,176.69,38.05,3038.12
180,Paddy,C,clay,2002-10-31,2003-03-03,146.9,12.05,6269.06
181,Jowar,B,clay,2023-07-12,2023-10-29,199.01,32.25,3113.86
60,Paddy,B,clay,2004-01-17,2004-05-26,134.3,17.75,5880.86
37,Jowar,A,sandy,2007-05-11,2007-08-24,151.37,29.25,2536.02
19,Paddy,A,sandy,2006-09-27,2007-01-10,178.42,20.99,6989.38
54,Maize,A,clay,2016-07-17,2016-12-03,104.49,43.04,4909.74
69,Cotton,B,sandy,2008-11-27,2009-04-01,115.19,44.26,2368.91
132,Jowar,B,sandy,2010-04-24,2010-08-15,115.24,45.66,3082.15
68,Paddy,B,clay,2008-12-22,2009-03-27,75.35,26.07,4327.99
174,Cotton,C,clay,2003-02-28,2003-07-26,94.46,18.96,1659.13
84,Jowar,C,loam,1999-01-31,1999-05-10,176.87,48.33,3253.85
49,Cotton,C,clay,2003-04-21,2003-08-30,145.45,5.1,2542.4
96,Jowar,B,clay,2019-12-07,2020-03-26,116.56,38.68,2665.7
5,Cotton,B,loam,2008-04-14,2008-08-30,101.97,16.44,2401.99
87,Jowar,C,clay,2005-06-26,2005-10-31,51.47,42.71,2187.51
92,Paddy,C,sandy,2012-05-25,2012-08-30,59.95,1.0,5251.11
193,Cotton,A,sandy,2007-04-25,2007-08-21,140.03,39.37,2038.4
58,Maize,A,sandy,2010-11-26,2011-04-15,162.4,8.27,4891.53
20,Cotton,A,sandy,2016-05-14,2016-08-27,190.16,37.62,2663.18
170,Maize,B,loam,2006-03-07,2006-07-16,66.13,49.61,4174.32
91,Cotton,A,loam,2018-11-23,2019-04-06,126.6,3.8,2579.94
44,Maize,A,sandy,2000-12-10,2001-03-10,187.38,26.71,4898.95
86,Maize,B,sandy,1999-09-08,1999-12-15,156.9,35.27,4609.66
190,Cotton,A,loam,2023-08-11,2023-11-20,51.3,6.65,2218.85
60,Paddy,A,sandy,2018-05-22,2018-09-15,158.66,26.98,4150.83
71,Cotton,C,sandy,2011-02-17,2011-05-24,91.82,27.87,2323.68
199,Maize,A,loam,2003-08-07,2003-11-05,167.32,7.78,5904.43
125,Cotton,B,sandy,2001-07-30,2001-11-11,165.69,48.17,2700.58
87,Jowar,C,loam,2017-07-18,2017-11-09,68.88,43.54,3015.23
60,Cotton,C,loam,2005-06-15,2005-11-04,199.62,26.24,2429.29
109,Paddy,A,sandy,2006-03-05,2006-06-11,138.89,37.31,4972.72
83,Cotton,C,clay,2019-06-28,2019-11-18,83.33,28.29,2324.01
43,Maize,A,clay,2008-03-07,2008-07-10,81.41,27.62,4703.69
159,Paddy,B,loam,2002-04-17,2002-09-06,105.84,23.13,6769.18
55,Maize,B,sandy,2023-01-28,2023-05-06,55.98,49.78,5465.44
53,Jowar,B,clay,1998-05-07,1998-08-26,108.55,7.22,2372.36
8,Jowar,A,clay,2005-10-20,2006-02-02,93.35,25.22,2394.06
158,Maize,B,sandy,2004-06-07,2004-10-01,57.48,18.25,3898.68
65,Maize,C,clay,2016-05-19,2016-08-22,93.9,20.55,4732.39
198,Paddy,A,loam,2005-11-06,2006-02-05,136.98,13.38,5100.98
166,Maize,B,loam,2017-11-14,2018-02-13,57.47,23.26,4264.25
158,Jowar,C,loam,2014-02-03,2014-06-23,115.07,44.41,2960.68
193,Paddy,A,loam,2006-05-11,2006-08-22,191.24,27.25,5254.34
3,Maize,B,loam,2018-01-10,2018-04-14,125.46,14.01,4351.61
140,Cotton,A,loam,2021-08-22,2021-12-17,79.86,48.19,2400.55
120,Cotton,C,loam,2015-06-23,2015-11-19,73.05,9.4,1769.98
166,Paddy,B,loam,1998-06-16,1998-11-03,84.94,36.34,6057.0
175,Jowar,A,sandy,2012-06-12,2012-09-19,81.95,25.28,3159.27
113,Paddy,A,sandy,2000-08-27,2000-12-23,169.51,21.72,5096.55
199,Jowar,A,sandy,2002-09-01,2002-12-16,181.75,18.59,2965.57
103,Jowar,A,sandy,2022-06-04,2022-09-17,144.24,17.21,2972.81
1,Maize,A,clay,2020-08-26,2020-12-24,110.59,0.48,5100.69
174,Paddy,C,loam,2005-01-31,2005-06-11,135.65,8.57,5130.15
102,Paddy,A,clay,2013-04-17,2013-09-06,113.2,41.01,5532.25
158,Paddy,C,loam,2019-03-26,2019-08-09,128.71,18.37,5902.73
183,Cotton,C,sandy,2016-09-26,2017-02-19,162.53,5.42,2176.12
56,Jowar,C,sandy,2014-02-18,2014-05-31,81.57,19.01,3070.81
28,Cotton,B,loam,2014-04-05,2014-08-11,72.36,10.79,2447.47
166,Maize,B,clay,2016-05-26,2016-10-17,142.75,5.9,5014.3
83,Paddy,B,sandy,2000-09-12,2000-12-12,126.65,41.76,5160.07
42,Cotton,B,loam,2002-09-18,2003-01-17,75.01,48.07,2569.41
94,Paddy,A,loam,2015-09-09,2016-01-18,181.56,17.16,5700.53
27,Cotton,A,loam,2010-08-12,2010-11-22,197.31,42.64,2956.41
172,Paddy,C,loam,2012-07-20,2012-12-10,162.85,18.48,6120.4
68,Paddy,C,loam,2013-07-20,2013-12-16,155.44,4.17,5877.15
85,Paddy,B,sandy,2001-11-10,2002-04-02,199.19,26.12,6196.78
167,Maize,B,clay,2011-02-04,2011-05-12,91.61,19.68,4366.56
181,Cotton,C,sandy,2012-10-17,2013-03-14,135.85,5.01,3164.53
23,Jowar,C,sandy,2019-07-25,2019-10-23,137.56,2.81,3203.02
61,Jowar,A,loam,2013-01-12,2013-06-02,97.41,8.33,3273.07
69,Maize,C,sandy,2000-09-19,2000-12-23,180.73,20.95,6164.22
35,Cotton,A,sandy,2012-01-10,2012-05-01,108.56,43.72,2915.32
106,Paddy,A,loam,2013-05-17,2013-08-22,100.08,47.79,5657.78
37,Paddy,A,clay,2011-08-11,2012-01-02,177.46,2.08,5378.25
67,Jowar,A,sandy,1999-05-30,1999-09-25,124.85,48.56,2530.92
173,Paddy,B,sandy,2005-08-14,2005-12-20,171.99,6.01,4891.52
65,Cotton,B,clay,1999-11-16,2000-02-22,66.42,41.02,2217.32
64,Cotton,A,clay,2011-01-18,2011-06-07,152.23,12.66,2386.23
187,Cotton,C,clay,2004-08-19,2004-12-17,161.32,31.01,2629.53
140,Jowar,A,clay,2009-07-08,2009-12-01,97.29,4.9,2869.51
115,Maize,C,clay,1998-01-19,1998-06-15,195.8,33.25,4550.39
180,Cotton,A,loam,2004-11-18,2005-04-14,126.1,20.65,2771.91
167,Jowar,B,clay,2000-08-14,2000-12-20,60.05,29.52,2271.59
14,Maize,C,clay,2010-03-17,2010-08-14,75.89,3.49,4428.47
84,Maize,A,loam,2007-02-15,2007-06-11,195.74,41.85,6107.02
166,Maize,C,loam,2022-12-27,2023-04-27,99.61,44.12,4849.43
12,Jowar,C,clay,2012-05-25,2012-09-04,59.28,38.1,2878.18
158,Cotton,B,sandy,2015-08-09,2015-11-10,198.7,15.26,2726.69
65,Cotton,A,loam,1999-08-15,1999-11-27,190.7,5.85,2669.01
88,Cotton,C,loam,2011-07-03,2011-10-17,75.63,47.68,2558.63
190,Maize,B,clay,2002-04-10,2002-09-05,75.02,27.33,4106.68
57,Paddy,C,loam,1998-01-19,1998-05-17,142.69,11.3,5348.46
188,Jowar,A,clay,2003-07-17,2003-10-20,143.11,12.96,3196.99
91,Paddy,C,sandy,2008-12-23,2009-05-11,75.08,25.09,4395.18
160,Paddy,A,sandy,2010-05-22,2010-08-30,76.39,24.21,4684.44
89,Maize,A,clay,2008-01-21,2008-06-16,105.86,35.42,5324.45
57,Maize,B,clay,2005-09-01,2005-12-09,140.79,26.34,4862.5
190,Cotton,B,clay,2023-05-16,2023-09-12,122.75,27.85,1799.23
77,Jowar,C,clay,1999-11-17,2000-03-10,83.12,36.68,3395.07
104,Cotton,A,sandy,2003-09-02,2004-01-23,50.87,15.72,2046.97
134,Maize,C,clay,2017-10-13,2018-01-13,136.67,35.32,5674.75
130,Cotton,C,clay,2021-01-19,2021-05-05,70.84,38.77,1872.91
8,Maize,A,clay,2009-05-07,2009-08-25,81.94,33.33,5026.33
174,Jowar,C,sandy,2017-06-09,2017-10-21,119.92,47.93,2827.96
161,Cotton,B,loam,2003-09-30,2004-02-09,159.38,48.58,2566.17
162,Maize,A,clay,2005-05-05,2005-10-02,126.03,27.35,5168.1
55,Jowar,B,loam,1998-10-05,1999-01-07,192.91,19.94,2313.91
6,Maize,C,sandy,2014-08-18,2014-11-16,69.11,40.96,4601.95
4,Paddy,C,sandy,2001-01-09,2001-05-22,128.89,36.22,5657.85
56,Jowar,A,loam,2018-03-22,2018-08-09,101.67,7.8,3553.31
98,Maize,B,clay,2001-04-18,2001-07-22,131.59,28.52,5275.87
43,Cotton,C,loam,2016-07-31,2016-11-09,60.57,24.59,2567.69
191,Maize,B,sandy,2019-09-26,2020-01-26,166.17,24.61,4212.37
189,Jowar,A,sandy,2010-07-03,2010-11-11,130.34,35.03,3032.9
38,Maize,A,sandy,2003-04-01,2003-07-22,110.17,40.69,5081.78
22,Cotton,B,loam,2008-11-07,2009-03-15,71.32,20.1,2309.98
19,Cotton,B,clay,2005-09-11,2005-12-17,123.12,34.43,1893.21
78,Cotton,C,sandy,2010-02-15,2010-05-21,167.44,17.83,2080.99
43,Maize,B,sandy,2004-03-01,2004-06-08,135.65,49.63,4980.12
149,Jowar,B,clay,1998-01-10,1998-05-16,177.85,47.03,3346.21
181,Maize,A,clay,2008-04-24,2008-08-17,114.08,24.08,4751.37
157,Paddy,C,clay,1998-11-22,1999-04-17,159.76,36.21,6237.5
150,Maize,A,clay,2020-05-20,2020-09-17,109.77,46.17,5282.4
180,Cotton,A,sandy,2020-02-08,2020-05-20,63.18,25.3,2763.62
164,Maize,A,sandy,2002-03-13,2002-08-05,104.02,42.92,4969.22
152,Maize,C,clay,2000-03-20,2000-08-03,121.64,8.42,5575.79
5,Paddy,A,sandy,2007-02-26,2007-06-05,81.41,9.69,5929.13
196,Maize,A,clay,1998-05-19,1998-09-03,141.15,32.02,5271.36
135,Cotton,C,clay,2012-07-29,2012-12-09,108.42,9.47,2315.93
84,Maize,C,sandy,2003-02-19,2003-06-09,129.84,11.71,4346.86
45,Maize,B,sandy,2011-05-19,2011-09-11,196.28,23.03,5323.08
9,Paddy,A,loam,2011-01-27,2011-06-11,95.75,21.05,5948.46
18,Cotton,A,sandy,2003-08-10,2003-12-21,150.39,40.86,2680.62
163,Cotton,A,clay,2020-06-29,2020-10-25,184.3,27.38,2678.6
70,Paddy,B,sandy,2008-08-03,2008-11-27,158.87,33.46,6979.01
149,Jowar,C,sandy,2016-03-23,2016-07-16,131.05,21.88,2263.78
187,Paddy,A,clay,2006-07-07,2006-11-13,56.75,38.57,3846.43
2,Jowar,C,sandy,1998-01-02,1998-04-21,78.45,27.77,2517.02
182,Jowar,B,loam,2019-08-17,2019-11-16,57.11,43.66,3330.13
32,Cotton,A,sandy,2009-04-05,2009-07-21,107.1,17.46,2429.87
195,Paddy,C,sandy,2021-02-01,2021-06-21,164.77,32.13,6703.8
93,Paddy,C,sandy,2017-02-12,2017-06-30,118.44,30.04,6634.05
63,Maize,A,sandy,2005-12-12,2006-03-18,104.8,19.49,4988.73
76,Maize,A,clay,2009-04-30,2009-08-18,101.39,30.73,5139.21
190,Paddy,C,sandy,2023-06-09,2023-09-23,152.25,2.85,5782.96
172,Maize,B,loam,2014-09-17,2015-01-31,136.29,32.05,5358.48
131,Cotton,A,clay,2016-08-25,2016-12-12,85.26,19.45,1977.61
107,Paddy,A,sandy,2001-06-23,2001-10-04,180.04,40.87,5549.75
169,Cotton,C,loam,1998-10-20,1999-03-19,51.96,41.65,2819.42
130,Cotton,C,loam,2002-02-15,2002-07-15,78.13,47.3,2272.32
62,Jowar,B,clay,2023-11-27,2024-04-24,98.86,18.37,3179.12
174,Paddy,B,sandy,1999-10-25,2000-02-15,91.52,31.47,6017.21
189,Cotton,B,clay,2014-05-22,2014-08-31,188.68,0.64,2677.34
51,Maize,B,loam,2022-02-06,2022-05-20,89.68,42.23,4964.15
77,Maize,B,sandy,2011-01-11,2011-04-29,83.8,45.13,5127.62
121,Cotton,A,loam,2015-01-06,2015-05-30,143.63,9.62,2284.22
24,Paddy,B,loam,2014-11-16,2015-02-20,90.16,5.79,5863.83
128,Jowar,A,sandy,2000-12-17,2001-05-02,153.23,20.64,2010.03
147,Jowar,B,clay,2016-11-16,2017-02-27,79.16,47.34,3550.61
78,Cotton,A,clay,2023-10-30,2024-02-01,140.5,32.43,2460.05
